# y, u-velocity, v-velocity, w-velocity, pressure, vis, vorticity, normal, ko2_tke, ko2_omega
3.445122539997100830e-01 1.011658668518066406e+00 1.115774573429151317e-12 0.000000000000000000e+00 -3.362314657806564355e-07 4.502783063799142838e-03 -4.527894556522369385e-01 3.447195887565612793e-01 6.579153705388307571e-03 1.461372733116149902e+00
3.649900257587432861e-01 1.020588159561157227e+00 1.080117874481534290e-12 0.000000000000000000e+00 -3.362315226240752963e-07 4.697549622505903244e-03 -4.207704365253448486e-01 3.652012646198272705e-01 6.395425181835889816e-03 1.362407326698303223e+00
3.863079547882080078e-01 1.029235601425170898e+00 1.039919127372723739e-12 0.000000000000000000e+00 -3.362318352628790308e-07 4.888367839157581329e-03 -3.911456465721130371e-01 3.865198791027069092e-01 6.206624209880828857e-03 1.270535469055175781e+00
4.084705114364624023e-01 1.037585735321044922e+00 1.004563619788623186e-12 0.000000000000000000e+00 -3.362318921062978916e-07 5.077373236417770386e-03 -3.633519411087036133e-01 4.086831808090209961e-01 6.013402715325355530e-03 1.185117125511169434e+00
4.314788877964019775e-01 1.045637607574462891e+00 9.674890012398296157e-13 0.000000000000000000e+00 -3.362321763233921956e-07 5.264119245111942291e-03 -3.371452093124389648e-01 4.316885173320770264e-01 5.816658493131399155e-03 1.105638146400451660e+00
4.553305506706237793e-01 1.053375005722045898e+00 9.324011831721157328e-13 0.000000000000000000e+00 -3.362322615885204868e-07 5.447994451969861984e-03 -3.123628199100494385e-01 4.555414319038391113e-01 5.617219489067792892e-03 1.031650304794311523e+00
4.800190925598144531e-01 1.060790300369262695e+00 8.953006521913997595e-13 0.000000000000000000e+00 -3.362323468536487781e-07 5.628617014735937119e-03 -2.888614833354949951e-01 4.802249968051910400e-01 5.416157189756631851e-03 9.627835750579833984e-01
5.055339932441711426e-01 1.067868351936340332e+00 8.595800395257147120e-13 0.000000000000000000e+00 -3.362324889621959301e-07 5.805461667478084564e-03 -2.665108740329742432e-01 5.057372450828552246e-01 5.214691627770662308e-03 8.987079262733459473e-01
5.318602919578552246e-01 1.074596405029296875e+00 8.212867235249388109e-13 0.000000000000000000e+00 -3.362326310707430821e-07 5.978076253086328506e-03 -2.451980710029602051e-01 5.320586562156677246e-01 5.014073569327592850e-03 8.391569852828979492e-01
5.589785575866699219e-01 1.080963015556335449e+00 7.833307028200231503e-13 0.000000000000000000e+00 -3.362328868661279557e-07 6.145963910967111588e-03 -2.248202264308929443e-01 5.591719746589660645e-01 4.815768916159868240e-03 7.839202284812927246e-01
5.868647098541259766e-01 1.086955785751342773e+00 7.426778376312670460e-13 0.000000000000000000e+00 -3.362330005529656773e-07 6.308704614639282227e-03 -2.052882015705108643e-01 5.870509743690490723e-01 4.621219355612993240e-03 7.328228354454040527e-01
6.154899001121520996e-01 1.092558979988098145e+00 7.011714884923303526e-13 0.000000000000000000e+00 -3.362330858180939686e-07 6.465756800025701523e-03 -1.865224689245223999e-01 6.156663298606872559e-01 4.432069137692451477e-03 6.857354640960693359e-01
6.448205113410949707e-01 1.097758889198303223e+00 6.572910618563021501e-13 0.000000000000000000e+00 -3.362329152878373861e-07 6.616446189582347870e-03 -1.684521287679672241e-01 6.449886560440063477e-01 4.249929916113615036e-03 6.425583362579345703e-01
6.748180985450744629e-01 1.102542400360107422e+00 6.113304849321432588e-13 0.000000000000000000e+00 -3.362332563483505510e-07 6.760122720152139664e-03 -1.510150432586669922e-01 6.749728918075561523e-01 4.076534416526556015e-03 6.032194495201110840e-01
7.054396867752075195e-01 1.106905698776245117e+00 5.638256788537132635e-13 0.000000000000000000e+00 -3.362333416134788422e-07 6.895993370562791824e-03 -1.341557055711746216e-01 7.055826783180236816e-01 3.913533873856067657e-03 5.676723122596740723e-01
7.366377115249633789e-01 1.110836625099182129e+00 5.132889556100361794e-13 0.000000000000000000e+00 -3.362332847700599814e-07 7.023008074611425400e-03 -1.178231239318847656e-01 7.367702722549438477e-01 3.762615146115422249e-03 5.358869433403015137e-01
7.683602571487426758e-01 1.114318132400512695e+00 4.628076893074817288e-13 0.000000000000000000e+00 -3.362335689871542854e-07 7.140127010643482208e-03 -1.019687578082084656e-01 7.684782743453979492e-01 3.625336568802595139e-03 5.078448057174682617e-01
8.005514740943908691e-01 1.117343544960021973e+00 4.094874667213282970e-13 0.000000000000000000e+00 -3.362336826739920070e-07 7.245904766023159027e-03 -8.654405176639556885e-02 8.006553053855895996e-01 3.503186861053109169e-03 4.835449755191802979e-01
